index,label,milp_size,milp_time,greedy_size,greedy_time,greedy_2_milp
0,7,620,18.01018500328064,620,3.789606094360352,0
1,2,649,16.850282907485962,652,8.372356176376343,-3
2,1,436,29.576186895370483,436,21.57448720932007,0
4,4,536,16.03874111175537,536,6.89779806137085,0
5,1,473,20.630614042282104,471,14.049092054367064,2
6,4,499,21.946755170822144,497,6.58538293838501,2
8,5,589,350.7457196712494,589,332.2054727077484,0
9,9,603,14.43403172492981,598,2.911618709564209,5
10,0,691,11.422309160232544,689,1.6515049934387207,2
11,6,601,14.878963232040403,601,6.999138116836548,0
13,0,758,8.450617790222168,758,1.2602770328521729,0
14,1,541,17.424445867538452,540,9.199728727340698,1
15,5,619,16.179929733276367,620,4.617903709411621,-1
16,9,564,16.220691204071045,561,6.823606967926025,3
17,7,608,17.06274390220642,608,3.564915180206299,0
18,3,300,240.1865839958191,300,227.08324217796329,0
19,4,553,25.10452699661255,551,8.222815990447998,2
20,9,449,21.31960391998291,449,13.127740859985352,0
21,6,612,22.088675022125244,611,6.170591831207275,1
22,6,491,41.22085785865784,491,23.356258869171143,0
23,5,641,19.01631808280945,641,3.631453037261963,0
24,4,454,20.396591901779175,447,13.2810480594635,7
25,0,782,7.133453130722046,782,0.6298344135284424,0
26,7,566,15.940614938735962,566,6.40770411491394,0
28,0,758,10.016719818115234,757,1.6027419567108154,1
29,1,442,27.783773183822632,442,20.999892950057983,0
30,3,733,11.589636087417604,733,2.0756611824035645,0
31,1,412,41.98531103134155,408,24.487932920455933,4
32,3,727,12.269727945327759,728,1.8443877696990967,-1
