index,label,milp_size,milp_time,greedy_size,greedy_time,greedy_2_milp
3,3,999.0,8.501198053359985,997.0,1.38326096534729,2.0
6,6,0.0,1.193030834197998,0.0,1.1963448524475098,0.0
7,9,996.0,7.445049047470093,992.0,1.6728711128234863,4.0
9,6,504.0,18.859217166900635,496.0,1.2601399421691895,10.0
10,9,579.0,19.012810945510864,560.0,1.615799903869629,28.0
12,2,95.0,2.6835620403289795,96.0,1.0899670124053955,1.0
13,5,652.0,15.303842067718506,644.0,1.2446739673614502,14.0
14,9,0.0,1.2033751010894775,0.0,1.0551512241363525,0.0
15,7,853.0,12.535828828811646,847.0,1.4404001235961914,7.0
17,3,950.0,13.039309024810791,941.0,1.3622357845306396,9.0
18,3,740.0,17.06603217124939,728.0,1.7461128234863281,17.0
19,8,915.0,11.513272047042847,910.0,2.006650924682617,6.0
21,8,0.0,1.2310361862182617,0.0,1.1732728481292725,0.0
23,9,0.0,1.3820021152496338,0.0,1.3132569789886475,0.0
25,7,406.0,10.17798399925232,403.0,1.90602707862854,10.0
26,9,941.0,13.601543188095093,923.0,1.71632981300354,19.0
27,4,782.0,14.646870851516724,769.0,1.5975241661071777,16.0
28,5,320.0,7.527811050415039,319.0,1.2412290573120117,5.0
29,6,843.0,16.26359486579895,833.0,1.2485949993133545,11.0
30,9,28.0,1.6432058811187744,29.0,1.03196120262146,0.0
32,0,314.0,8.334248065948486,312.0,1.1444878578186035,7.0
33,7,0.0,1.0790619850158691,0.0,1.0649139881134033,0.0
34,8,475.0,16.211668968200684,462.0,1.06882905960083,25.0
35,7,458.0,14.686479091644287,455.0,1.5558898448944092,7.0
36,3,618.0,17.87694787979126,610.0,1.2125599384307861,11.0
37,1,942.0,12.48837685585022,931.0,1.2599742412567139,11.0
39,8,203.0,7.089046955108643,203.0,1.1343860626220703,1.0
40,8,0.0,1.0918090343475342,0.0,1.0840339660644531,0.0
41,8,608.0,18.327057123184204,582.0,1.181149959564209,40.0
45,0,924.0,12.611560106277466,923.0,1.3444170951843262,1.0
47,4,623.0,18.05625820159912,610.0,1.7726480960845947,16.0
48,9,676.0,18.133002042770386,664.0,1.5998289585113525,14.0
51,7,102.0,3.298617124557495,102.0,1.083909034729004,1.0
54,6,411.0,14.383463144302368,405.0,1.298327922821045,12.0
59,1,258.0,7.534113168716431,256.0,1.1863281726837158,5.0
61,5,810.0,13.981619834899902,805.0,1.2038519382476807,7.0
63,1,888.0,13.373513221740723,875.0,1.1424601078033447,15.0
65,5,968.0,8.845271825790405,961.0,1.1470308303833008,7.0
66,0,847.0,12.323036909103394,839.0,1.4433820247650146,10.0
68,6,492.0,18.68597412109375,492.0,1.2017090320587158,2.0
69,8,0.0,1.116121768951416,0.0,0.9966590404510498,0.0
70,0,822.0,14.932646036148071,818.0,1.236543893814087,4.0
71,8,1022.0,2.431373119354248,1022.0,1.2507143020629883,0.0
73,6,0.0,1.0550520420074463,0.0,1.112914800643921,0.0
75,6,920.0,13.455161094665527,909.0,1.2546422481536865,12.0
76,8,591.0,18.07476496696472,586.0,1.2983450889587402,6.0
80,4,613.0,18.5141499042511,612.0,1.8431458473205566,2.0
82,1,0.0,1.4943318367004395,0.0,1.4933061599731445,0.0
84,0,1012.0,6.735007047653198,1008.0,1.468224048614502,4.0
85,6,1005.0,7.370909214019775,999.0,1.351135015487671,6.0
86,8,931.0,12.049362897872925,925.0,1.697300910949707,7.0
87,8,918.0,10.789942026138306,915.0,1.348379135131836,3.0
89,5,325.0,11.92326307296753,324.0,1.1410889625549316,2.0
90,5,69.0,2.4147300720214844,70.0,1.0267529487609863,0.0
94,4,640.0,18.09890103340149,622.0,1.3038430213928223,18.0
95,9,0.0,1.1209630966186523,0.0,1.164748191833496,0.0
96,6,423.0,12.063248872756958,419.0,1.4159767627716064,11.0
97,1,941.0,10.614220142364502,925.0,1.1657631397247314,18.0
98,9,464.0,19.149002075195312,459.0,1.2747230529785156,8.0
99,0,651.0,17.99520492553711,646.0,1.2838499546051025,7.0
