index,label,milp_size,milp_time,greedy_size,greedy_time,greedy_2_milp
0,5,736,11.158999919891356,728,2.877016067504883,8
2,4,629,17.52737021446228,630,5.656409978866577,-1
3,1,698,11.666438341140749,698,3.3185081481933594,0
4,9,751,9.417912006378174,749,2.6728718280792236,2
5,2,745,7.118141889572144,777,1.732206106185913,-32
6,1,760,7.623732089996338,754,2.5536022186279297,6
8,1,702,13.066349983215332,684,5.267292022705078,18
9,4,691,11.9450261592865,692,4.772654056549072,-1
11,5,658,9.82706904411316,678,3.94142484664917,-20
14,1,715,14.257266998291016,716,5.3078742027282715,-1
17,8,701,13.722795963287354,702,5.556903839111328,-1
18,6,515,17.94856071472168,536,22.42211413383484,-21
19,9,565,13.693703889846802,564,9.228309154510498,1
22,9,364,19.420910835266113,427,21.730175971984863,-63
23,1,723,9.805279970169067,715,3.296592950820923,8
24,1,542,13.028777360916138,543,7.659065008163452,-1
25,2,745,9.45651388168335,745,2.3116259574890137,0
26,4,534,15.052937984466553,529,12.29235291481018,5
28,2,581,12.70214295387268,576,4.015539884567261,5
29,7,437,12.758368015289308,440,8.6997709274292,-3
30,3,727,10.636844873428345,734,3.262012243270874,-7
31,8,732,11.454983949661257,732,4.095082998275757,0
32,6,743,12.475062131881714,742,4.491207122802734,1
33,9,546,16.275831699371338,531,17.62645697593689,15
35,5,572,18.253769159317017,568,6.332250118255615,4
38,7,750,9.156522989273071,752,2.372898817062378,-2
40,1,733,12.50271987915039,732,3.5776188373565674,1
41,8,752,10.294592142105104,751,3.072226047515869,1
42,7,615,20.310773849487305,614,6.99498987197876,1
43,9,639,14.22741413116455,639,8.152264833450317,0
44,3,774,8.708379745483398,774,1.9901247024536133,0
45,9,736,11.690783977508543,736,4.29479718208313,0
46,8,678,16.50163769721985,676,5.970525741577148,2
48,9,188,5.051736116409302,188,3.463066816329956,0
50,3,750,9.009684801101685,749,3.350381851196289,1
53,4,497,15.865743160247805,497,13.21360683441162,0
54,9,557,12.545796155929564,564,6.994036912918091,-7
55,8,735,13.543061017990112,735,4.2735679149627686,0
57,9,665,16.85776686668396,680,5.6151039600372314,-15
58,4,744,7.776175260543823,759,1.9812767505645752,-15
59,1,699,13.138083934783936,698,4.753652095794678,1
60,4,658,12.333336114883425,658,2.8086390495300293,0
61,4,649,16.890373945236206,647,6.88506007194519,2
64,4,706,14.709008932113647,707,6.185569047927856,-1
65,5,759,9.00387978553772,758,2.855485200881958,1
67,1,741,10.20400619506836,744,3.077141046524048,-3
68,0,656,14.871262311935425,658,11.01622200012207,-2
70,1,525,13.1665780544281,530,7.700223922729492,-5
72,1,702,13.894698858261108,702,5.2669360637664795,0
75,0,720,10.456180810928345,741,2.6715710163116455,-21
76,2,781,7.58527398109436,781,1.7368757724761963,0
77,1,704,12.477633953094482,705,4.08473801612854,-1
78,1,622,12.000688314437866,632,6.743136167526245,-10
79,7,750,10.176709175109863,750,2.875087022781372,0
80,9,97,6.463470220565796,97,3.976609945297241,0
83,6,756,10.583085060119627,783,3.988215208053589,-27
84,7,687,12.10276985168457,687,3.321863889694214,0
85,8,632,15.021692037582396,633,7.631789207458496,-1
86,3,714,10.774930238723757,716,3.434947967529297,-2
87,9,743,9.749361038208008,743,2.5578370094299316,0
89,4,759,8.87040901184082,760,2.6821279525756836,-1
92,4,648,19.237660884857178,650,7.84198784828186,-2
94,8,752,11.26845407485962,753,4.580917835235596,-1
96,7,738,11.63263988494873,738,3.335801839828491,0
97,8,742,13.102711200714111,742,4.635370969772339,0
98,3,756,9.324566125869753,756,2.4542388916015625,0
99,1,539,14.630911827087402,543,9.859541177749634,-4
